PC,Region,Corr_Visual,Pval_Visual,Corr_Auditory,Pval_Auditory,Corr_Interaction,Pval_Interaction,region_vis_prob,region_vis_prob_va
PC_0,7Networks_RH_Cont_Par_1,-0.4791825927170037,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.5,0.43749999999999994
PC_0,7Networks_RH_Cont_Par_2,-0.4791825927170037,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.5,0.43749999999999994
PC_0,7Networks_RH_Cont_PFCl_1,-0.4791825927170037,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.5,0.3125
PC_0,7Networks_RH_Cont_PFCl_2,-0.47918259271700375,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.5,0.3125
PC_0,7Networks_RH_Cont_PFCl_3,-0.4791825927170037,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.5,0.3125
PC_0,7Networks_RH_Cont_PFCl_4,-0.4791825927170037,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.5,0.3125
PC_0,7Networks_RH_Cont_Cing_1,-0.4791825927170037,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.5,0.39999999999999997
PC_0,7Networks_RH_Cont_PFCmp_1,-0.47918259271700375,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.5,0.4666666666666666
PC_0,7Networks_RH_Cont_pCun_1,0.4791825927170038,5.42213477207726e-13,-0.8323998660180797,4.309147378319732e-42,0.6679521146382374,1.3993180034239054e-23,0.5,0.4285714285714286
PC_0,7Networks_RH_Default_Par_1,-0.4791825927170037,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.45,0.8125
PC_0,7Networks_RH_Default_Temp_1,-0.47918259271700375,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382377,1.3993180034238187e-23,0.4,0.7499999999999999
PC_0,7Networks_RH_Default_Temp_2,-0.4791825927170037,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.4,0.7499999999999999
PC_0,7Networks_RH_Default_Temp_3,-0.47918259271700375,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.4,0.7499999999999999
PC_0,7Networks_RH_Default_PFCv_1,-0.47918259271700375,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.0,0.0
PC_0,7Networks_RH_Default_PFCv_2,-0.4791825927170037,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.0,0.0
PC_0,7Networks_RH_Default_PFCdPFCm_1,-0.4791825927170037,5.42213477207726e-13,0.8323998660180796,4.309147378319732e-42,-0.6679521146382376,1.3993180034238187e-23,0.0,0.0
PC_0,7Networks_RH_Default_PFCdPFCm_2,-0.47918259271700375,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.0,0.0
PC_0,7Networks_RH_Default_PFCdPFCm_3,-0.4791825927170037,5.42213477207726e-13,0.8323998660180796,4.309147378319732e-42,-0.6679521146382374,1.3993180034239054e-23,0.0,0.0
PC_0,7Networks_RH_Default_pCunPCC_1,0.4791825927170037,5.42213477207726e-13,-0.8323998660180798,4.309147378319267e-42,0.6679521146382374,1.3993180034239054e-23,0.38888888888888884,0.5333333333333333
PC_0,7Networks_RH_Default_pCunPCC_2,-0.47918259271700375,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.38888888888888884,0.5333333333333333
PC_1,7Networks_LH_Vis_1,-0.147966453294199,0.03559451016488841,-0.14065832652934968,0.07698698274976387,0.01999225916709043,0.794624547980943,0.95,0.625
PC_1,7Networks_LH_Vis_2,-0.14796645329419902,0.03559451016488809,-0.14065832652934973,0.07698698274976387,0.019992259167090444,0.794624547980943,0.95,0.625
PC_1,7Networks_LH_Vis_3,-0.14796645329419902,0.03559451016488809,-0.14065832652934973,0.07698698274976387,0.01999225916709043,0.794624547980943,0.95,0.625
PC_1,7Networks_LH_Vis_4,0.14796645329419902,0.03559451016488809,0.14065832652934968,0.07698698274976387,-0.019992259167090444,0.794624547980943,0.95,0.625
